Src_IP_dec,Src_Port,Dst_IP_dec,Dst_Port,Protocol,Timestamp,Flow_Duration,Total_Fwd_Packet,Total_Bwd_packets,Total_Length_of_Fwd_Packet,Total_Length_of_Bwd_Packet,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes_per_s,Flow_Packets_per_s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_RST_Flags,Bwd_RST_Flags,Fwd_Header_Length,Bwd_Header_Length,Fwd_Packets_per_s,Bwd_Packets_per_s,Packet_Length_Min,Packet_Length_Max,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWR_Flag_Count,ECE_Flag_Count,Down_per_Up_Ratio,Average_Packet_Size,Fwd_Segment_Size_Avg,Bwd_Segment_Size_Avg,Fwd_Bytes_per_Bulk_Avg,Fwd_Packet_per_Bulk_Avg,Fwd_Bulk_Rate_Avg,Bwd_Bytes_per_Bulk_Avg,Bwd_Packet_per_Bulk_Avg,Bwd_Bulk_Rate_Avg,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,FWD_Init_Win_Bytes,Bwd_Init_Win_Bytes,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,ICMP_Code,ICMP_Type,Total_TCP_Flow_Time,Label,Attempted_Category
3232238094,56942,3232238083,53,17,19:31.9,332,2,2,78,334,39,39,39.0,0.0,167,167,167.0,0.0,1240963.855,12048.19277,110.6666667,106.8097998,234,49,49,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0,0,0,0,0,16,16,6024.096386,6024.096386,39,167,103.0,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1.0,103.0,39.0,167.0,0,0,0,0,0,0,0,19,0,83,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
2886729729,62223,3232238130,3221,6,52:36.2,45,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,44444.44444,45.0,0.0,45,45,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,22222.22222,22222.22222,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,45,Portscan,-1
3232238096,28169,3232238083,53,17,48:26.6,129007,2,2,60,344,30,30,30.0,0.0,172,172,172.0,0.0,3131.613013,31.00606944,43002.33333,74477.89605,129002,2,2,2.0,0.0,2,2,3,3.0,0.0,3,3,0,0,0,0,0,0,16,16,15.50303472,15.50303472,30,172,101.0,81.98373822,6721.333333,0,0,0,0,0,0,0,0,1.0,101.0,30.0,172.0,0,0,0,0,0,0,0,15,0,86,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
3232238095,54458,1751222554,443,6,33:44.8,5383671,4,4,32,31,31,0,8.0,15.340578,31,0,7.75,15.5,11.70205237,1.485974904,769095.8571,2014005.804,5336362,1,5383671,1794557.0,3087877.445,5360105,48,5359914,1786638.0,3094543.461,5359909,1,1,1,0,0,1,1,80,92,0.742987452,0.742987452,0,31,7.875,14.27722962,203.8392857,1,0,2,2,8,0,0,0,1.0,7.875,8.0,7.75,0,0,0,0,0,0,0,4,0,3,251,1445,1,20,23743.0,0.0,23743,23743,5336362.0,0.0,5336362,5336362,-1,-1,125772630,BENIGN,-1
2886729729,49730,3232238130,4321,6,55:59.0,45,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,44444.44444,45.0,0.0,45,45,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,40,20,22222.22222,22222.22222,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,45,Portscan,-1
3232238097,62299,3232238083,53,17,50:21.9,194,2,2,70,166,35,35,35.0,0.0,83,83,83.0,0.0,1216494.845,20618.5567,64.66666667,70.49349852,142,4,48,48.0,0.0,48,48,4,4.0,0.0,4,4,0,0,0,0,0,0,16,16,10309.27835,10309.27835,35,83,59.0,27.71281292,768.0,0,0,0,0,0,0,0,0,1.0,59.0,35.0,83.0,0,0,0,0,0,0,0,17,0,41,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
3232238083,60235,3232238081,53,17,25:38.2,31933,1,1,54,118,54,54,54.0,0.0,118,118,118.0,0.0,5386.277519,62.63113394,31933.0,0.0,31933,31933,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,31.31556697,31.31556697,54,118,86.0,45.254834,2048.0,0,0,0,0,0,0,0,0,1.0,86.0,54.0,118.0,0,0,0,0,0,0,0,27,0,59,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
2886729729,42668,3232238130,2288,6,52:37.6,30,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,66666.66667,30.0,0.0,30,30,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,33333.33333,33333.33333,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,30,Portscan,-1
2886729729,37040,3232238130,1098,6,54:57.2,12,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,166666.6667,12.0,0.0,12,12,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,40,20,83333.33333,83333.33333,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,12,Portscan,-1
2886729729,36894,3232238130,6346,6,53:00.9,83,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,24096.38554,83.0,0.0,83,83,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,12048.19277,12048.19277,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,83,Portscan,-1
3232238095,62387,3232238083,53,17,10:51.4,158,2,2,78,110,39,39,39.0,0.0,55,55,55.0,0.0,1189873.418,25316.4557,52.66666667,54.15102338,109,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,0,0,16,16,12658.22785,12658.22785,39,55,47.0,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1.0,47.0,39.0,55.0,0,0,0,0,0,0,0,19,0,27,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
3232238096,58711,3232238083,53,17,08:38.1,183,2,2,78,174,39,39,39.0,0.0,87,87,87.0,0.0,1377049.18,21857.9235,61.0,99.59417654,176,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,0,0,16,16,10928.96175,10928.96175,39,87,63.0,27.71281292,768.0,0,0,0,0,0,0,0,0,1.0,63.0,39.0,87.0,0,0,0,0,0,0,0,19,0,43,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
3232238095,55093,3232238083,53,17,28:17.0,49604,4,4,204,464,51,51,51.0,0.0,116,116,116.0,0.0,13466.65591,161.2773163,7086.285714,18273.94237,48523,48,49463,16487.66667,28473.47191,49366,48,1032,344.0,510.9549882,934,49,0,0,0,0,0,0,32,32,80.63865817,80.63865817,51,116,83.5,34.74396145,1207.142857,0,0,0,0,0,0,0,0,1.0,83.5,51.0,116.0,0,0,0,0,0,0,0,25,0,58,0,0,3,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
2886729729,44511,3232238130,3766,6,53:03.7,60,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,33333.33333,60.0,0.0,60,60,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,16666.66667,16666.66667,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,60,Portscan,-1
2886729729,35536,3232238130,1583,6,54:23.1,22,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,90909.09091,22.0,0.0,22,22,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,40,20,45454.54545,45454.54545,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,22,Portscan,-1
2886729729,58808,3232238130,80,6,12:24.4,8134801,8,6,20,11595,20,0,2.5,7.071067812,5840,0,1932.5,2190.830322,1427.81612,1.721000919,625753.9231,2240585.001,8082817,4,8134801,1162114.429,3051762.215,8082817,4,30108,6021.6,12817.35941,28944,47,1,1,0,0,1,0,172,132,0.983429097,0.737571823,0,5840,829.6428571,1681.80588,2828471.016,1,2,1,2,13,0,0,0,0.75,829.6428571,2.5,1932.5,0,0,0,11595,4,13389145,0,1,0,828,8192,229,1,20,51984.0,0.0,51984,51984,8082817.0,0.0,8082817,8082817,-1,-1,8134801,DDoS,-1
2886729729,64469,3232238130,80,6,14:11.5,10060892,9,5,20,11595,20,0,2.222222222,6.666666667,7300,0,2319.0,3348.440682,1154.4702,1.391526716,773914.7692,2597456.229,9397558,1,10060892,1257611.5,3297159.584,9397558,1,659307,164826.75,329060.9661,658418,3,1,1,0,0,1,0,192,112,0.894552889,0.496973827,0,7300,829.6428571,2185.637087,4777009.478,1,2,1,2,13,0,0,0,0.555555556,829.6428571,2.222222222,2319.0,0,0,0,0,0,0,0,1,0,828,8192,229,1,20,663334.0,0.0,663334,663334,9397558.0,0.0,9397558,9397558,-1,-1,10060892,DDoS,-1
2886729729,29327,3232238130,80,6,07:26.9,5666837,8,4,20,11595,20,0,2.5,7.071067812,8760,0,2898.75,4129.722297,2049.644272,2.117583407,515167.0,1625460.266,5411843,4,5666837,809548.1429,2031244.817,5411843,4,246378,82126.0,127034.134,228480,402,1,1,0,0,1,0,172,92,1.411722271,0.705861136,0,8760,967.9166667,2585.4993,6684806.629,1,2,1,2,11,0,0,0,0.5,967.9166667,2.5,2898.75,0,0,0,0,0,0,0,1,0,966,8192,229,1,20,254994.0,0.0,254994,254994,5411843.0,0.0,5411843,5411843,-1,-1,5666837,DDoS,-1
2886729729,42372,3232238130,2046,6,55:32.7,42,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,47619.04762,42.0,0.0,42,42,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,40,20,23809.52381,23809.52381,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,42,Portscan,-1
3232238089,60983,3232238083,53,17,30:51.2,234,2,2,80,452,40,40,40.0,0.0,226,226,226.0,0.0,2273504.274,17094.01709,78.0,92.71461589,182,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,0,0,0,0,0,16,16,8547.008547,8547.008547,40,226,133.0,107.3871501,11532.0,0,0,0,0,0,0,0,0,1.0,133.0,40.0,226.0,0,0,0,0,0,0,0,20,0,113,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
2886729729,55774,3232238130,80,6,10:30.3,4074445,8,6,20,11595,20,0,2.5,7.071067812,7215,0,1932.5,3125.165196,2850.695003,3.4360508,313418.8462,1011595.565,3661218,4,4074445,582063.5714,1366367.391,3661218,162,406688,81337.6,172693.8547,390036,4,1,1,0,0,1,0,172,132,1.9634576,1.4725932,0,7215,829.6428571,2176.88421,4738824.863,2,2,1,2,13,0,0,0,0.75,829.6428571,2.5,1932.5,0,0,0,0,0,0,0,1,0,828,8192,229,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,4074445,DDoS,-1
2886729729,38709,3232238130,1093,6,52:51.3,32,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,62500.0,32.0,0.0,32,32,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,31250.0,31250.0,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,32,Portscan,-1
2886729729,52472,3232238130,8045,6,55:18.2,66,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,30303.0303,66.0,0.0,66,66,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,40,20,15151.51515,15151.51515,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,66,Portscan,-1
2886729729,33830,3232238130,9968,6,52:58.2,64,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,31250.0,64.0,0.0,64,64,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,15625.0,15625.0,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,64,Portscan,-1
2886729729,61827,3232238130,80,6,04:15.6,2953842,8,5,20,11595,20,0,2.5,7.071067812,5840,0,2319.0,3175.563729,3932.166988,4.401047856,246153.5,590571.8954,1809809,1,2953842,421977.4286,746473.9442,1817038,1,1810767,452691.75,904744.9003,1809809,3,1,1,0,0,1,0,172,112,2.708337142,1.692710714,0,5840,893.4615385,2176.550582,4737372.436,1,2,1,2,12,0,0,0,0.625,893.4615385,2.5,2319.0,0,0,0,0,0,0,0,1,0,891,8192,229,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,2953842,DDoS,-1
2886729729,34850,3232238130,2043,6,52:28.0,5,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,400000.0,5.0,0.0,5,5,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,200000.0,200000.0,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,5,Portscan,-1
3232238083,60224,3232238081,53,17,08:25.8,23452,1,1,57,142,57,57,57.0,0.0,142,142,142.0,0.0,8485.417022,85.28057309,23452.0,0.0,23452,23452,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,42.64028654,42.64028654,57,142,99.5,60.1040764,3612.5,0,0,0,0,0,0,0,0,1.0,99.5,57.0,142.0,0,0,0,0,0,0,0,28,0,71,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
2886729729,48354,3232238130,1801,6,53:02.3,31,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,64516.12903,31.0,0.0,31,31,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,32258.06452,32258.06452,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,31,Portscan,-1
2886729729,56604,3232238130,49163,6,55:52.4,44,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,45454.54545,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,40,20,22727.27273,22727.27273,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,44,Portscan,-1
3232238083,61305,3232238081,53,17,55:01.0,31083,1,1,56,84,56,56,56.0,0.0,84,84,84.0,0.0,4504.069749,64.34385355,31083.0,0.0,31083,31083,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,32.17192678,32.17192678,56,84,70.0,19.79898987,392.0,0,0,0,0,0,0,0,0,1.0,70.0,56.0,84.0,0,0,0,0,0,0,0,28,0,42,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
2886729729,46744,3232238130,1087,6,55:24.8,24,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,83333.33333,24.0,0.0,24,24,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,40,20,41666.66667,41666.66667,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,24,Portscan,-1
3232238083,62234,3232238081,53,17,11:34.8,543,1,1,44,60,44,44,44.0,0.0,60,60,60.0,0.0,191528.5451,3683.241252,543.0,0.0,543,543,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,1841.620626,1841.620626,44,60,52.0,11.3137085,128.0,0,0,0,0,0,0,0,0,1.0,52.0,44.0,60.0,0,0,0,0,0,0,0,22,0,30,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
2886729729,45002,3232238130,7103,6,51:48.2,51,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,39215.68627,51.0,0.0,51,51,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,19607.84314,19607.84314,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,51,Portscan,-1
3232238088,50145,3232238083,53,17,41:21.5,176,2,2,82,254,41,41,41.0,0.0,127,127,127.0,0.0,1909090.909,22727.27273,58.66666667,96.41749495,170,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,0,0,16,16,11363.63636,11363.63636,41,127,84.0,49.65212315,2465.333333,0,0,0,0,0,0,0,0,1.0,84.0,41.0,127.0,0,0,0,0,0,0,0,20,0,63,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
